tagger,corpus,tagset,config options,metric,min,max,mean,std
nltkBrill,oana-cs.xml,mte,baseline,accuracy,0.691070775978,0.70989182849,0.701658277955,0.00572275422313
nltkBrill,oana-cs.xml,mte,baseline,f1,0.527936007757,0.550214927706,0.541091361906,0.00679281574563
nltkBrill,oana-cs.xml,mte,baseline,oov,-1,-1,-1.0,0.0
nltkBrill,oana-cs.xml,mte,baseline,precision,0.549583648751,0.571892770106,0.563938523367,0.00671678896073
nltkBrill,oana-cs.xml,mte,baseline,prediction_time,7.85926127434,8.69206023216,8.24314279556,0.253525317387
nltkBrill,oana-cs.xml,mte,baseline,recall,0.507929104478,0.530120481928,0.520027157104,0.00696639400018
nltkBrill,oana-cs.xml,mte,baseline,training_time,0.666414499283,1.46235823631,1.0096487999,0.288202235384
nltkBrill,oana-cs.xml,mte,brill24,accuracy,0.720063345109,0.738975727538,0.732359668817,0.00573560890417
nltkBrill,oana-cs.xml,mte,brill24,f1,0.55920659577,0.581299768816,0.573726720867,0.00615391804333
nltkBrill,oana-cs.xml,mte,brill24,oov,-1,-1,-1.0,0.0
nltkBrill,oana-cs.xml,mte,brill24,precision,0.573388875276,0.595340117836,0.589018600073,0.00620492503602
nltkBrill,oana-cs.xml,mte,brill24,prediction_time,8.22589826584,12.3530204296,10.5282052517,1.06933205771
nltkBrill,oana-cs.xml,mte,brill24,recall,0.545708955224,0.568022088353,0.559211165209,0.00620910264969
nltkBrill,oana-cs.xml,mte,brill24,training_time,76.9432592392,83.6308717728,79.4862374544,2.00756184982
nltkBrill,oana-cs.xml,mte,fntbl37,accuracy,0.719454257522,0.738086160884,0.731781168052,0.00572573420575
nltkBrill,oana-cs.xml,mte,fntbl37,f1,0.557839388145,0.579907502569,0.572818941233,0.00635309680469
nltkBrill,oana-cs.xml,mte,fntbl37,oov,-1,-1,-1.0,0.0
nltkBrill,oana-cs.xml,mte,fntbl37,precision,0.572058823529,0.594963836057,0.588070491829,0.00638338594507
nltkBrill,oana-cs.xml,mte,fntbl37,prediction_time,8.12859797478,12.7937390804,11.2067078114,1.26922801401
nltkBrill,oana-cs.xml,mte,fntbl37,recall,0.544309701493,0.566516064257,0.558340643844,0.00641105554892
nltkBrill,oana-cs.xml,mte,fntbl37,training_time,93.9947910309,101.978063107,98.7719492197,2.22680597971
nltkBrill,oana-cs.xml,mte,nltkdemo18,accuracy,0.720063345109,0.739102808489,0.732228275033,0.00564157615018
nltkBrill,oana-cs.xml,mte,nltkdemo18,f1,0.558928998327,0.581589420978,0.573597000509,0.00619835588953
nltkBrill,oana-cs.xml,mte,nltkdemo18,oov,-1,-1,-1.0,0.0
nltkBrill,oana-cs.xml,mte,nltkdemo18,precision,0.573320255027,0.595269382392,0.588768348683,0.00616581632719
nltkBrill,oana-cs.xml,mte,nltkdemo18,prediction_time,5.16531181335,12.9742748737,10.6475928783,2.19467582246
nltkBrill,oana-cs.xml,mte,nltkdemo18,recall,0.545242537313,0.568524096386,0.559190444832,0.00633088773844
nltkBrill,oana-cs.xml,mte,nltkdemo18,training_time,59.9932117462,67.7862377167,64.7828779221,2.56603616054
nltkBrill,oana-cs.xml,mte,nltkdemo18plus,accuracy,0.720063345109,0.739102808489,0.732228275033,0.00564157615018
nltkBrill,oana-cs.xml,mte,nltkdemo18plus,f1,0.558928998327,0.581589420978,0.573597000509,0.00619835588953
nltkBrill,oana-cs.xml,mte,nltkdemo18plus,oov,-1,-1,-1.0,0.0
